"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita"
"471",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0.0142865403815044,0,0
"472",0,0,0.00322156547697418,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,4.90732676018052,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0
"473",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0.0808436305674403,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293383514207467,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0,0,0,0,0,0,0,0.00192906269795075,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0.0251091141377936,0.00152394721834648,0,0,0,0,0,0,0,0
"477",0,0,0.00322156547697418,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0.00367517960494002,0,0,0,0,0,0
"478",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0.00836759158841381,0,0,0,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"483",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0.000404148654058588,0.000110752202893025
"487",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"488",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0.000522271471754624,0,0,0.00152394721834648,0,0,0,0,0,0,0,0.000110752202893025
"489",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0.000110752202893025
"490",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"493",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0.355399497478736,0,0,0,0,0,0,0,0,0,0.00367517960494002,0,0,0,0.0142865403815044,0,0
"494",0,0,0,0,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0.0151937840010457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495",0,0,0,0,0,0,0.00126839060479591,0,0,0,0.00232117568443178,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0,0.000522271471754624,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"496",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110752202893025
"497",0,0.000609302211438565,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0.0211446606851198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110752202893025
"501",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0
"502",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0.00192906269795075,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"503",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293383514207467,0,0,0,0,0,0,0
"505",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"506",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"507",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293383514207467,0,0,0,0,0,0,0
"509",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"510",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0.0215358641335111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142865403815044,0,0
"511",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0
"512",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513",0,0,0.00322156547697418,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"514",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"515",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0
"516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0,0,0
"517",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"518",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223132174840732,0,0,0,0,0,0.0251091141377936,0,0.00293383514207467,0,0,0,0,0,0,0
"519",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0
"520",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0
"521",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0.000110752202893025
"522",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0.00293383514207467,0,0,0.00206154194768992,0,0,0,0
"523",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0
"524",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0.000341169793127432,0,0,0,0,0,0,0,0,0,0,0,0,0.000110752202893025
"525",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0.00192906269795075,0,0,0.0264193415938237,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0.00293383514207467,0,0,0,0,0,0,0.000110752202893025
"526",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293383514207467,0,0,0,0,0,0,0
"527",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0,0,0.035881541011837,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0.000110752202893025
"528",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110752202893025
"529",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152394721834648,0,0,0,0,0,0,0,0.000110752202893025
"530",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0,0,0,0.0251091141377936,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0
"533",0,0,0,0,0,0,0.00126839060479591,0,0.0808436305674403,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0.00293383514207467,0,0,0,0,0,0,0
"534",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0
"535",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"536",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0.000727254613317815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"537",0,0,0,0,0,1.43542572268694,0.00126839060479591,0.00911160663682847,0.0808436305674403,0,0,0,0,0,0.000388302124137572,0.00192906269795075,0,0,0,0.000727254613317815,0,0,0,0,0,0.011997764062227,0,0,0.0251091141377936,0.00152394721834648,0.00293383514207467,0.00367517960494002,0.0604083449351202,0,0,0.0142865403815044,0,0
"538",0.00181608806215731,0,0,0,0.0020241082665467,0,0.00126839060479591,0.00911160663682847,0.0808436305674403,0,0,0,0,0,0,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"539",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0.0808436305674403,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0,0,0,0,0,0,0,0,0
"540",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0.00911160663682847,0.0808436305674403,0.035881541011837,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0.00152394721834648,0,0,0,0,0,0,0,0
"541",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0.0808436305674403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545",0,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151937840010457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548",0.00181608806215731,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0.00293383514207467,0.00367517960494002,0,0,0,0,0,0
"549",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0,0.00152394721834648,0.00293383514207467,0,0,0,0,0,0,0
"550",0,0,0,0.000138677764469265,0,0,0.00126839060479591,0,0,0,0,0,0.00157859785763086,0,0.000388302124137572,0.00192906269795075,0,0,0,0,0,0,0,0,0,0,0,0.0159231829586751,0,0.00152394721834648,0,0,0,0,0,0,0,0.000110752202893025
"551",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554",0,0,0,0,0,0,0.00126839060479591,0,0.0808436305674403,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0.011997764062227,0,0,0.0251091141377936,0,0.00293383514207467,0,0,0,0,0,0,0
"555",0.00181608806215731,0,0,0,0.0020241082665467,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151937840010457,0,0,0,0,0,0,0,0,0,0,0.236643810935894,0,0,0
"556",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0.0151937840010457,0,0,0,0,0.0251091141377936,0.00152394721834648,0,0,0,0,0,0,0,0
"557",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"558",0.00181608806215731,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151937840010457,0,0.011997764062227,0,0,0.0251091141377936,0.00152394721834648,0.00293383514207467,0,0,0,0.236643810935894,0,0,0
"559",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0.00367079945985867,0,0.00192906269795075,0,0,0,0,0,0,0,0.0151937840010457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560",0,0,0.00322156547697418,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0.000388302124137572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251091141377936,0,0,0,0,0,0,0,0,0
"492",0,0,0,0,0,0,0.00126839060479591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"542",0,0,0,0,0,0,0.00126839060479591,0.00911160663682847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
